quick_name,quick_slug,quick_url,quick_address,quick_address_line1,quick_postal_code,quick_city,quick_phone,quick_latitude,quick_longitude,quick_halal_status,quick_halal_certifier,quick_halal_evidence,top_halal_restaurant_id,top_halal_legacy_wp_id,top_halal_name,top_halal_address_line1,top_halal_postal_code,top_halal_city,top_halal_phone,top_halal_latitude,top_halal_longitude,match_status,match_score,differences,proposed_actions,checked_at
"Quick Reims Cormontreuil",reims-cormontreuil,https://www.quick.fr/restaurants/reims-cormontreuil,"68 RUE DU COMMERCE, 51350 CORMONTREUIL","68 RUE DU COMMERCE",51350,CORMONTREUIL,,49.217332541745,4.0579695495554,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Oyonnax Arbent",oyonnax-arbent,https://www.quick.fr/restaurants/oyonnax-arbent,"ALLÉE DES FLEURS, 01100  ARBENT","ALLÉE DES FLEURS","01100 ",ARBENT,,46.283676,5.660301,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Laval",laval,https://www.quick.fr/restaurants/laval,"LOTISSEMENT GREEN VILLAGE, 189 BOULEVARD DU 8 MAI 1945, 53000 LAVAL","LOTISSEMENT GREEN VILLAGE 189 BOULEVARD DU 8 MAI 1945",53000,LAVAL,,48.068979,-0.793537,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Saint-Denis Grand Stade",saint-denis-grand-stade,https://www.quick.fr/restaurants/saint-denis-grand-stade,"QUARTIER STADE DE FRANCE, 1 RUE JULES RIMET, 93200 SAINT-DENIS","QUARTIER STADE DE FRANCE 1 RUE JULES RIMET",93200,SAINT-DENIS,,48.92596,2.362592,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",5994,19467,"Le cube","51 Rue Danielle Casanova",93200,Saint-Denis,"01 48 09 11 89",48.9271546,2.3651359,MISSING_TOP_HALAL,50,"name,address,coordinates",CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Châlons-en-Champagne",chalons-en-champagne,https://www.quick.fr/restaurants/chalons-en-champagne,"19 AVENUE WINSTON CHURCHILL, 51000 CHALONS-EN-CHAMPAGNE","19 AVENUE WINSTON CHURCHILL",51000,CHALONS-EN-CHAMPAGNE,,48.94302,4.389531,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Dijon Gare",dijon-gare,https://www.quick.fr/restaurants/dijon-gare,"9 COURS DE LA GARE, 21000 DIJON","9 COURS DE LA GARE",21000,DIJON,,47.322984,5.028291,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",1994,15453,"Ekin kebab","7 Avenue maréchal Foch",21000,Dijon,,47.3231729,5.0303725,MISSING_TOP_HALAL,50,"name,address,coordinates",CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Nîmes Capouchiné",nimes-capouchine,https://www.quick.fr/restaurants/nimes-capouchine,"65 rue Christian Martinez, 30900 NIMES","65 rue Christian Martinez",30900,NIMES,,43.818854,4.353133,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Nîmes Costières",nimes-costieres,https://www.quick.fr/restaurants/nimes-costieres,"155 RUE PAUL LAURENT, FAMILY VILLAGE COSTIÈRES SUD 3, 30900 NIMES","155 RUE PAUL LAURENT FAMILY VILLAGE COSTIÈRES SUD 3",30900,NIMES,,43.810521,4.364829,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Montpellier Gare Saint-Roch",montpellier-gare-saint-roch,https://www.quick.fr/restaurants/montpellier-gare-saint-roch,"GARE SNCF ST ROCH, RUE JULES FERRY, 34000 MONTPELLIER","GARE SNCF ST ROCH RUE JULES FERRY",34000,MONTPELLIER,,43.603813,3.879574,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",3989,17449,"BC-BG Fast Food","19 Rue Frédéric Bazille",34000,Montpellier,,43.6024349,3.8807247,MISSING_TOP_HALAL,50,"name,address,coordinates",CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Douai Férin",douai-ferin,https://www.quick.fr/restaurants/douai-ferin,"342 ROUTE NATIONALE, 59169 FERIN","342 ROUTE NATIONALE",59169,FERIN,,50.339642,3.095345,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Aulnay",aulnay,https://www.quick.fr/restaurants/aulnay,"CARREFOUR DE L'EUROPE, BOULEVARD MARC CHAGALL - RUE JACQUES DUCLOS, 93600 AULNAY-SOUS-BOIS","CARREFOUR DE L'EUROPE BOULEVARD MARC CHAGALL - RUE JACQUES DUCLOS",93600,AULNAY-SOUS-BOIS,,48.951069,2.487579,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Bourges",bourges,https://www.quick.fr/restaurants/bourges,"ZAC DU PRADO, 18000 BOURGES","ZAC DU PRADO",18000,BOURGES,,47.084176,2.382475,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Pontault Combault (Les Arpents)",pontault-combault-les-arpents,https://www.quick.fr/restaurants/pontault-combault-les-arpents,"Parc d'activité Les Arpents, 77340 PONTAULT-COMBAULT","Parc d'activité Les Arpents",77340,PONTAULT-COMBAULT,,48.800008,2.626635,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Aulnay CC",aulnay-cc,https://www.quick.fr/restaurants/aulnay-cc,"CENTRE COMMERCIAL PARINOR, LE HAUT DE GALY, 93606 AULNAY-SOUS-BOIS","CENTRE COMMERCIAL PARINOR LE HAUT DE GALY",93606,AULNAY-SOUS-BOIS,,48.956572,2.475688,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Montargis",montargis,https://www.quick.fr/restaurants/montargis,"RUE DU PORT, 45200 MONTARGIS","RUE DU PORT",45200,MONTARGIS,,48.000582,2.73001,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",3873,17333,Capadoce,"56 Rue du Genéral Leclerc",45200,Montargis,,47.9986370,2.7312860,MISSING_TOP_HALAL,50,"name,address,coordinates",CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick La Courneuve 2",la-courneuve-2,https://www.quick.fr/restaurants/la-courneuve-2,"IMPASSE BLOCH PRAEGER, 93120 LA-COURNEUVE","IMPASSE BLOCH PRAEGER",93120,LA-COURNEUVE,,48.927542,2.417132,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",2693,16152,"quick halal La Courneuve","63 Avenue du Général Leclerc",93120,"La Courneuve","01 48 37 07 48",48.9289821,2.3837271,MISSING_TOP_HALAL,60,"name,address,coordinates",CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Avignon Cap Sud",avignon-cap-sud,https://www.quick.fr/restaurants/avignon-cap-sud,"Centre Commercial Cap Sud ZAC de la Croix de Noves,, 84000 AVIGNON","Centre Commercial Cap Sud ZAC de la Croix de Noves,",84000,AVIGNON,,43.927875,4.839071,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Center Parcs Poitiers",center-parcs-poitiers,https://www.quick.fr/restaurants/center-parcs-poitiers,"ECP FRANCE - DOMAINE DU BOIS AU DAIM, VIENNE GRAND OUEST - ROUTE DES TROIS MOUTIERS, 86120 MORTON","ECP FRANCE - DOMAINE DU BOIS AU DAIM VIENNE GRAND OUEST - ROUTE DES TROIS MOUTIERS",86120,MORTON,,47.084038,0.007103,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Non",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Brive Beauregard",brive-beauregard,https://www.quick.fr/restaurants/brive-beauregard,"Z.I Beauregard Rue Gustave Courbet,, 19100 BRIVE-LA-GAILLARDE","Z.I Beauregard Rue Gustave Courbet,",19100,BRIVE-LA-GAILLARDE,,45.149737,1.493224,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Chambly",chambly,https://www.quick.fr/restaurants/chambly,"Angle Rue Léonard de Vinci et Thomas Edison, ZAC des Portes de l'Oise, 60230 CHAMBLY","Angle Rue Léonard de Vinci et Thomas Edison ZAC des Portes de l'Oise",60230,CHAMBLY,,49.153515,2.252745,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Paris place de Clichy (Chabert)",paris-place-de-clichy-chabert,https://www.quick.fr/restaurants/paris-place-de-clichy-chabert,"11 PLACE DE CLICHY, 75017 PARIS","11 PLACE DE CLICHY",75017,PARIS,,48.883831,2.327119,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",4658,18130,"Restaurant Dost","12 Avenue de Clichy",75017,Paris,,48.8845572,2.3269589,MISSING_TOP_HALAL,50,"name,address,coordinates",CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Coignières",coignieres,https://www.quick.fr/restaurants/coignieres,"LIEU-DIT LE GIBET, ROUTE NATIONALE 10, 78310 COIGNIERES","LIEU-DIT LE GIBET ROUTE NATIONALE 10",78310,COIGNIERES,,48.756543,1.938398,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Flins",flins,https://www.quick.fr/restaurants/flins,"C.C. Carrefour CD 14 Rte Renault, CD 14 - ROUTE RENAULT, 78880 FLINS-SUR-SEINE","C.C. Carrefour CD 14 Rte Renault CD 14 - ROUTE RENAULT",78880,FLINS-SUR-SEINE,,48.966701,1.862844,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Le Puy-en-Velay",le-puy-en-velay,https://www.quick.fr/restaurants/le-puy-en-velay,"3 BOULEVARD DE CLUNY, 43000 LE-PUY-EN-VELAY","3 BOULEVARD DE CLUNY",43000,LE-PUY-EN-VELAY,,45.048287,3.892326,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Marseille Le Merlan",marseille-le-merlan,https://www.quick.fr/restaurants/marseille-le-merlan,"CENTRE COMMERCIAL LE MERLAN, 13014 MARSEILLE","CENTRE COMMERCIAL LE MERLAN",13014,MARSEILLE,,43.32982,5.399622,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",3592,17052,"quick hallal marseille le merlan","Avenue salvador allende",13014,Marseille,"04 91 58 54 31",43.3299340,5.3927320,MATCH_UPDATE,85,"address,coordinates",UPDATE_ADDRESS|UPDATE_COORDINATES,2026-09-07T19:21:59+02:00
"Quick Gonfreville",gonfreville,https://www.quick.fr/restaurants/gonfreville,"Cente Commercial Leclerc,, 76700 GONFREVILLE-L'ORCHER","Cente Commercial Leclerc,",76700,GONFREVILLE-L'ORCHER,,49.508095,0.224736,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Center Parcs Normandie (Bois Francs)",center-parcs-normandie-bois-francs,https://www.quick.fr/restaurants/center-parcs-normandie-bois-francs,"ECP FRANCE - DOMAINE DES BOIS FRANCS, LES BARILS, 27130 VERNEUIL-SUR-AVRE","ECP FRANCE - DOMAINE DES BOIS FRANCS LES BARILS",27130,VERNEUIL-SUR-AVRE,,48.728499,0.840121,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Non",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Mantes Buchelay",mantes-buchelay,https://www.quick.fr/restaurants/mantes-buchelay,"LES CLOSEAUX 2000, 9 RUE DE L'AVEYRON, 78200 BUCHELAY","LES CLOSEAUX 2000 9 RUE DE L'AVEYRON",78200,BUCHELAY,,48.989448,1.679113,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",1124,14579,"quick halal mantes buchelay","9 Rue de l'Aveyron",78200,Buchelay,"01 30 94 51 00",48.9894692,1.6791334,MATCH_UPDATE,100,address,UPDATE_ADDRESS,2026-09-07T19:21:59+02:00
"Quick Meaux Victoire",meaux-victoire,https://www.quick.fr/restaurants/meaux-victoire,"71-81 Avenue de la Victoire, 77100 MEAUX","71-81 Avenue de la Victoire",77100,MEAUX,,48.957173,2.916438,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Toulouse Mirail",toulouse-mirail,https://www.quick.fr/restaurants/toulouse-mirail,"CENTRE COMMERCIALTOULOUSE MIRAIL BASSO-CAMBO, PLACE EDOUARD BOUILLÈRES, 31100 TOULOUSE-MIRAIL","CENTRE COMMERCIALTOULOUSE MIRAIL BASSO-CAMBO PLACE EDOUARD BOUILLÈRES",31100,TOULOUSE-MIRAIL,,43.56985,1.393731,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Center Parcs Moselle",center-parcs-moselle,https://www.quick.fr/restaurants/center-parcs-moselle,"CENTER PARCS -  DOMAINE LES TROIS FORÊTS, ROUTE DE BERTRAMBOIS - BOIS DES HARCHOLINS, 57790 HATTIGNY","CENTER PARCS -  DOMAINE LES TROIS FORÊTS ROUTE DE BERTRAMBOIS - BOIS DES HARCHOLINS",57790,HATTIGNY,,48.621357,6.98397,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Non",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Roubaix",roubaix,https://www.quick.fr/restaurants/roubaix,"4.6 Boulevard Gambetta, 59100 ROUBAIX","4.6 Boulevard Gambetta",59100,ROUBAIX,,50.691037,3.180033,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",5870,19343,"quick halal Roubaix","6 Boulevard Gambetta",59100,Roubaix,"03 20 73 38 42",50.6909571,3.1806889,MATCH_UPDATE,100,address,UPDATE_ADDRESS,2026-09-07T19:21:59+02:00
"Quick Bailleul",bailleul,https://www.quick.fr/restaurants/bailleul,"ZAC DU NOUVEAU MONDE, ROUTE DE STEENWERCK, 59270 BAILLEUL","ZAC DU NOUVEAU MONDE ROUTE DE STEENWERCK",59270,BAILLEUL,,50.724874,2.746816,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Rouen Saint-Sever",rouen-saint-sever,https://www.quick.fr/restaurants/rouen-saint-sever,"CENTRE COMMERCIAL SAINT SEVER, 76046 ROUEN","CENTRE COMMERCIAL SAINT SEVER",76046,ROUEN,,49.430942,1.085044,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Corbeil",corbeil,https://www.quick.fr/restaurants/corbeil,"28 Boulevard Croizat, 91100 CORBEIL-ESSONNES","28 Boulevard Croizat",91100,CORBEIL-ESSONNES,,48.605668,2.467718,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",1806,15264,"Sweet burger","26 Rue de Paris",91100,Corbeil-Essonnes,"01 78 05 33 34",48.6037020,2.4681006,MISSING_TOP_HALAL,50,"name,address,coordinates",CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Caen Côte de Nacre",caen-cote-de-nacre,https://www.quick.fr/restaurants/caen-cote-de-nacre,"17 RUE JEAN-BAPTISTE COLBERT, 14000 CAEN","17 RUE JEAN-BAPTISTE COLBERT",14000,CAEN,,49.208629,-0.367393,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Montreuil",montreuil,https://www.quick.fr/restaurants/montreuil,"55 Bd Rouget de Lisle , 93100 MONTREUIL","55 Bd Rouget de Lisle",93100,MONTREUIL,,48.858558,2.437471,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",4053,17513,"quick halal Montreuil","55 Boulevard Rouget de Lisle",93100,Montreuil,"01 48 59 18 56",48.8585920,2.4374480,MATCH_UPDATE,100,address,UPDATE_ADDRESS,2026-09-07T19:21:59+02:00
"Quick Tourcoing",tourcoing,https://www.quick.fr/restaurants/tourcoing,"310 BOULEVARD GAMBETTA, 59200 TOURCOING","310 BOULEVARD GAMBETTA",59200,TOURCOING,,50.705564,3.159664,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Nancy Mazagran",nancy-mazagran,https://www.quick.fr/restaurants/nancy-mazagran,"10/12 RUE MAZAGRAN, 4 AVENUE FOCH, 54000 NANCY","10/12 RUE MAZAGRAN 4 AVENUE FOCH",54000,NANCY,,48.689457123037,6.1761872566584,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",4185,17645,"Ali Baba","5 Place Thiers",54000,Nancy,,48.6895411,6.1754858,MISSING_TOP_HALAL,55,"name,address",CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Lys-lez-Lannoy",lys-lez-lannoy,https://www.quick.fr/restaurants/lys-lez-lannoy,"CENTRE COMMERCIAL AUCHAN, RUE GAMBETTA, 59390 LYS-LEZ-LANNOY","CENTRE COMMERCIAL AUCHAN RUE GAMBETTA",59390,LYS-LEZ-LANNOY,,50.682453,3.215122,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Perpignan Drive",perpignan-drive,https://www.quick.fr/restaurants/perpignan-drive,"RN 9 route d'Espagne, 66000 PERPIGNAN","RN 9 route d'Espagne",66000,PERPIGNAN,,42.681444,2.894554,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Rouen Barentin",rouen-barentin,https://www.quick.fr/restaurants/rouen-barentin,"7 carrefour de la Liberté, 76360 BARENTIN","7 carrefour de la Liberté",76360,BARENTIN,,49.533652,0.964206,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick CC Qwartz",cc-qwartz,https://www.quick.fr/restaurants/cc-qwartz,"CENTRE COMMERCIAL QWARTZ , 4 BOULEVARD GALLIÉNI, 92390 VILLENEUVE-LA-GARENNE","CENTRE COMMERCIAL QWARTZ  4 BOULEVARD GALLIÉNI",92390,VILLENEUVE-LA-GARENNE,,48.92566,2.328977,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Saint-Etienne Expo",saint-etienne-expo,https://www.quick.fr/restaurants/saint-etienne-expo,"38 bis PLAINE ACHILLE, BOULEVARD JULES JANIN, 42000 SAINT-ETIENNE","38 bis PLAINE ACHILLE BOULEVARD JULES JANIN",42000,SAINT-ETIENNE,,45.44857,4.393166,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
"Quick Le Mans Sud",le-mans-sud,https://www.quick.fr/restaurants/le-mans-sud,"132 AVENUE GEORGES DURAND, 72000 LE MANS","132 AVENUE GEORGES DURAND",72000,"LE MANS",,47.977899,0.213057,halal_confirmed,,"Quick embedded dataset: halal=Oui; certifHalal=Oui",,,,,,,,,,MISSING_TOP_HALAL,0,,CREATE_RESTAURANT,2026-09-07T19:21:59+02:00
